root,f_name,f_number,zp,mw_corr,mw_ebv,nobj,e10,e50,e90
abell2744clu-grizli-v6.0-fix,f090w_tot_1,363,0.895583,1.0145788,0.0111,12216,1.349945,2.1351645,4.231652
abell2744clu-grizli-v6.0-fix,f105w_tot_1,202,0.918921,1.0111773,0.0111,23167,2.3668,20.661823,41.338707
abell2744clu-grizli-v6.0-fix,f115w_tot_1,364,0.861552,1.0095057,0.0111,38232,1.5074036,2.6095836,7.64917
abell2744clu-grizli-v6.0-fix,f115wn_tot_1,309,0.864527,1.0095731,0.0111,16102,1.3973238,2.5969143,6.294457
abell2744clu-grizli-v6.0-fix,f125w_tot_1,203,0.943847,1.008339,0.0111,23051,3.396756,19.668003,40.227913
abell2744clu-grizli-v6.0-fix,f140w_tot_1,204,0.962929,1.0069976,0.0111,7203,2.757106,3.9719572,15.672886
abell2744clu-grizli-v6.0-fix,f150w_tot_1,365,0.862948,1.0061654,0.0111,38483,1.4678228,2.5422919,7.8759313
abell2744clu-grizli-v6.0-fix,f150wn_tot_1,310,0.879699,1.0062184,0.0111,16309,1.481262,2.7905977,6.912937
abell2744clu-grizli-v6.0-fix,f160w_tot_1,205,0.986259,1.0058984,0.0111,23081,3.0362766,25.446575,51.612007
abell2744clu-grizli-v6.0-fix,f200w_tot_1,366,0.896206,1.0040563,0.0111,37938,1.3725526,2.333587,6.5512323
abell2744clu-grizli-v6.0-fix,f200wn_tot_1,311,0.904943,1.0040472,0.0111,16666,1.356037,2.6524184,6.936784
abell2744clu-grizli-v6.0-fix,f277w_tot_1,375,1.0,1.002603,0.0111,37955,1.08453,1.897207,5.5593886
abell2744clu-grizli-v6.0-fix,f356w_tot_1,376,1.074052,1.0004811,0.0111,38398,1.0044562,1.7649401,5.5603976
abell2744clu-grizli-v6.0-fix,f410m_tot_1,383,1.119564,1.0,0.0111,23530,1.9305873,3.1254857,8.730464
abell2744clu-grizli-v6.0-fix,f435w_tot_1,233,1.0488,1.0431865,0.0111,19766,1.895411,2.8207047,7.6241026
abell2744clu-grizli-v6.0-fix,f444w_tot_1,377,1.132353,1.0000002,0.0111,38118,0.9730909,2.1555092,6.4210224
abell2744clu-grizli-v6.0-fix,f475w_tot_1,234,1.037338,1.0389808,0.0111,6172,3.0137227,4.0222983,7.2415514
abell2744clu-grizli-v6.0-fix,f606w_tot_1,236,0.892828,1.0292295,0.0111,36786,1.9913692,4.185629,20.811241
abell2744clu-grizli-v6.0-fix,f775w_tot_1,238,0.826131,1.0190501,0.0111,7170,4.072342,5.4156346,9.203905
abell2744clu-grizli-v6.0-fix,f814w_tot_1,239,0.813657,1.0177987,0.0111,31588,1.7480958,5.997034,27.795597
abell2744clu-grizli-v6.5-fix,f090w_tot_1,363,0.90788,1.0143143,0.0109,13098,1.3086212,2.0717247,3.9105856
abell2744clu-grizli-v6.5-fix,f105w_tot_1,202,0.93103,1.0109748,0.0109,28661,2.210856,19.639526,36.033207
abell2744clu-grizli-v6.5-fix,f115w_tot_1,364,0.868222,1.0093337,0.0109,39545,1.4787346,2.559488,7.1757903
abell1689-grizli-v7.4-fix,f105w_tot_1,202,0.962803,1.0230913,0.0228,1818,12.097886,18.028818,45.550953
abell1689-grizli-v7.4-fix,f115w_tot_1,364,0.89,1.0196217,0.0228,2181,11.77206,18.767262,55.79734
abell1689-grizli-v7.4-fix,f125w_tot_1,203,0.979897,1.017203,0.0228,2028,9.51812,16.269823,43.938854
abell1689-grizli-v7.4-fix,f140w_tot_1,204,0.995922,1.0144255,0.0228,1815,11.069645,16.430183,42.253258
